,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
10,PJ Harvey,eerie,White Chalk,/album/white-chalk-mw0000486087,"Above the mountain, the mountain
An eagle is flying

High above the mountain
An eagle come down
To the soldier who falters
The soldier on the ground

By the mountain
I feel nothing
For in my own heart
Every tree is broken

The first tree will not blossom
The second will not grow
The third is almost fallen
Since you betrayed me so, since you",/lyric/12186212/PJ+Harvey/The+Mountain,['Pop/Rock'],3:10,"['atmospheric', 'eerie', 'spooky', 'weary', 'angst-ridden', 'austere', 'hypnotic', 'intense']",The Mountain,https://www.allmusic.com/song/the-mountain-mt0028193051
11,Kraftwerk,eerie,Trans-Europe Express,/album/trans-europe-express-mw0000194538,"The young man stepped into the hall of mirrors
Where he discovered a reflection of himself
Even the greatest stars discover themselves in the looking glass
Even the greatest stars discover themselves in the looking glass

Sometimes he saw his real face
And sometimes a stranger at his place
Even the greatest stars find their face in the looking glass
Even the greatest stars find their face in the looking glass

He fell in love with the image of himself
And suddenly the picture was distorted
Even the greatest stars dislike themselves in the looking glass
Even the greatest stars dislike themselves in the looking glass

He made up the person he wanted to be
And changed into a new personality
Even the greatest stars change themselves in the looking glass
Even the greatest stars change themselves in the looking glass

The artist is living in the mirror
With the echoes of himself
Even the greatest stars live their lives in the looking glass
Even the greatest stars live their lives in the looking glass

Even the greatest stars fix their face in the looking glass
Even the greatest stars fix their face in the looking glass
Even the greatest stars live their lives in the looking glass
Even the greatest stars live their lives in the looking glass",/lyric/1319043/Kraftwerk/Hall+of+Mirrors,"['Avant-Garde', 'Pop/Rock']",7:54,"['spooky', 'cerebral', 'clinical', 'detached', 'eerie', 'literate', 'nocturnal', 'quirky']",Hall of Mirrors,https://www.allmusic.com/song/hall-of-mirrors-mt0030288311
12,Pink Floyd,eerie,Wish You Were Here,/album/wish-you-were-here-mw0000650633,"Welcome my son
Welcome to the machine
Where have you been?
It's alright we know where you've been

You've been in the pipeline
Filling in time
Provided with toys and scouting for boys
You bought a guitar to punish your ma

And you didn't like school
And you know you're nobody's fool
So welcome to the machine

Welcome my son
Welcome to the machine
What did you dream?
It's alright we told you what to dream

You dreamed of a big star
He played a mean guitar
He always ate in the Steak Bar
He loved to drive in his Jaguar
So welcome to the machine",/lyric/1534033/Pink+Floyd/Welcome+to+the+Machine+%5BNew+Age+Version%5D,['Pop/Rock'],7:31,"['angst-ridden', 'bitter', 'bleak', 'brooding', 'dramatic', 'druggy', 'eerie', 'gloomy']",Welcome to the Machine,https://www.allmusic.com/song/welcome-to-the-machine-mt0042077830
13,Pink Floyd,eerie,Wish You Were Here,/album/wish-you-were-here-mw0000650633,"Come in here, dear boy, have a cigar
You're gonna go far, you're gonna fly
You're never gonna die
You're gonna make it if you try
They're gonna love you
Well I've always had a deep respect
And I mean that most sincere
The band is just fantastic
That is really what I think
Oh by the way, which one's pink?
And did we tell you the name of the game, boy
We call it 'riding the gravy train'

We're just knocked out
We heard about the sell out
You gotta get an album out
You owe it to the people
We're so happy we can hardly count
Everybody else is just green
Have you seen the chart?
It's a helluva start
It could be made into a monster
If we all pull together as a team
And did we tell you the name of the game, boy
We call it 'riding the gravy train'",/lyric/395910/Pink+Floyd/Have+a+Cigar,['Pop/Rock'],5:07,"['acerbic', 'atmospheric', 'bitter', 'cynical/sarcastic', 'eerie', 'ironic', 'literate', 'nocturnal']",Have a Cigar,https://www.allmusic.com/song/have-a-cigar-mt0042077831
14,Pink Floyd,eerie,Wish You Were Here,/album/wish-you-were-here-mw0000650633,"Nobody knows where you are
How near or how far
Shine on you crazy diamond
Pile on many more layers
And I'll be joining you there
Shine on you crazy diamond
And we'll bask in the shadow
Of yesterday's triumph
And sail on the steel breeze
Come on you boy child
You winner and loser
Come on you miner for truth, for delusion, and shine!",/lyric/395912/Pink+Floyd/Shine+on+You+Crazy+Diamond%2C+Pts.+6-9,['Pop/Rock'],12:29,"['atmospheric', 'autumnal', 'bittersweet', 'dreamy', 'eerie', 'enigmatic', 'ethereal', 'hypnotic']","Shine on You Crazy Diamond, Pts. 6-9",https://www.allmusic.com/song/shine-on-you-crazy-diamond-pts-6-9-mt0042077833
15,Pink Floyd,eerie,Discovery,/album/discovery-mw0002185066,"Lime and limpid green, a second scene
Now fights between the blue you once knew
Floating down, the sound resounds
Around the icy waters underground
Jupiter and Saturn, Oberon, Miranda and Titania
Neptune, Titan, stars can frighten

Blinding signs flap,
Flicker, flicker, flicker blam, pow, pow
Stairway scare, Dan Dare, who's there?

Lime and limpid green, the sounds around
The icy waters under
Lime and limpid green, the sounds around
The icy waters underground",/lyric/12201151/Pink+Floyd/Astronomy+Domine+%5BStereo%5D%5BMix%5D,['Pop/Rock'],4:12,"['druggy', 'eerie', 'spacey', 'hypnotic', 'ominous', 'trippy', 'literate', 'rousing']",Astronomy Domine,https://www.allmusic.com/song/astronomy-domine-mt0042079257
16,Pink Floyd,eerie,Discovery,/album/discovery-mw0002185066,"Lucifer Sam, Siam cat
Always sitting by your side
Always by your side
That cat's something I can't explain

Ginger, Ginger you're a witch
You're the left side
He's the right side
Oh, no
That cat's something I can't explain

Lucifer go to sea
Be a hip cat, be a ship's cat
Somewhere, anywhere
That cat's something I can't explain

At night prowling sifting sand
Hiding around on the ground
He'll be found when you're around
That cat's something I can't explain",/lyric/1530786/Pink+Floyd/Lucifer+Sam,['Pop/Rock'],3:07,"['druggy', 'eerie', 'hypnotic', 'ominous', 'trippy', 'literate', 'rousing', 'spacey']",Lucifer Sam,https://www.allmusic.com/song/lucifer-sam-mt0042079258
17,Pink Floyd,eerie,Discovery,/album/discovery-mw0002185066,"There was a king who ruled the land
His majesty was in command
With silver eyes the scarlet eagle
Showers silver on the people
Oh mother, tell me more

Why'd'ya have to leave me there
Hanging in my infant air
Waiting?
You only have to read the lines
They're scribbly black and everything (shines)

Across the stream with wooden shoes
With bells to tell the king the news
A thousand misty riders climb up
Higher once upon a time

Wandering and dreaming
The words have different meaning
Yes they did

For all the time spent in that room
The doll's house, darkness, old perfume
And fairy stories held me high on
Clouds of sunlight floating by
Oh mother, tell me more
Tell me more",/lyric/1530787/Pink+Floyd/Matilda+Mother,['Pop/Rock'],3:08,"['druggy', 'eerie', 'hypnotic', 'ominous', 'trippy', 'rousing', 'detached', 'dramatic']",Matilda Mother,https://www.allmusic.com/song/matilda-mother-mt0042079259
18,Pink Floyd,eerie,Discovery,/album/discovery-mw0002185066,"Alone in the clouds all blue
Lying on an eiderdown
Yippee, you can't see me
But I can you

Lazing in the foggy dew
Sitting on a unicorn
No fair, you can't hear me
But I can you

Watching buttercups cup the light
Sleeping on a dandelion
Too much, I won't touch you
But then I might

Screaming through the starlit sky
Traveling by telephone
Hey ho, here we go
Ever so high

Alone in the clouds all blue
Lying on an eiderdown
Yippee, you can't see me
But I can you",/lyric/1530788/Pink+Floyd/Flaming,['Pop/Rock'],2:46,"['druggy', 'eerie', 'hypnotic', 'ominous', 'trippy', 'literate', 'rousing', 'spacey']",Flaming,https://www.allmusic.com/song/flaming-mt0042079260
19,Pink Floyd,eerie,Discovery,/album/discovery-mw0002185066,"Doctor doctor!
I'm in bed
Achin' head
Gold is lead
Choke on bread
Underfed
Gold is lead
Jesus bled
Pain is red
Are goon
Grow go
Greasy spoon
You swoon
June bloom

Music seems to help the pain
Seems to cultivate the brain
Doctor kindly tell your wife that
I'm alive, flowers thrive, realize, realize
Realize",/lyric/1530790/Pink+Floyd/Take+Up+Thy+Stethoscope+and+Walk,['Pop/Rock'],3:06,"['druggy', 'eerie', 'hypnotic', 'ominous', 'trippy', 'literate', 'rousing', 'spacey']",Take Up Thy Stethoscope and Walk,https://www.allmusic.com/song/take-up-thy-stethoscope-and-walk-mt0042079262
